ID_Pedido,Data,Cliente_ID,Item,Quantidade,Preco_Unitario
1,2023-11-16,222,Torta de Limao,23,12.93
2,2024-05-25,232,Esfiha,,5.87
3,2024-12-20,276,Wrap de Frango,7,25.98
4,2024-10-17,198,Batata Frita,,11.62
5,2023-07-06,385,Esfiha,17,6.94
6,2023-02-04,260,Empanada,16,9.48
7,2025-02-18,250,Sorvete 2 bolas,7,9.93
8,2025-02-04,248,Refrigerante Lata,19,7.76
9,2023-11-21,229,Yakisoba,24,27.11
10,2023-08-30,254,Agua Mineral,17,4.24
11,2025-04-03,398,Yakisoba,16,30.42
12,2024-05-21,242,Sorvete 2 bolas,29,11.14
13,2024-03-01,152,Pizza Mussarela,8,42.5
14,2024-06-30,151,Suco de Laranja,18,8.35
15,2023-02-03,103,Batata Frita,14,13.13
16,2025-05-28,213,Batata Frita,11,13.18
17,2025-05-07,252,Cafe Expresso,29,7.35
18,2025-08-14,305,Salada Caesar,21,29.43
19,2025-07-15,267,Batata Frita,3,12.23
20,2024-04-22,317,Suco de Laranja,,9.45
21,2024-12-19,212,Sushi 8 pecas,17,31.66
22,2023-05-02,381,Suco de Laranja,12,
23,2023-11-15,164,Acai 300ml,26,17.37
24,2024-08-27,125,Torta de Limao,20,12.92
25,2023-04-20,342,Esfiha,20,6.84
26,2025-02-09,112,Acai 300ml,12,16.81
27,2024-09-10,139,Empanada,1,8.92
28,2024-01-18,252,Sushi 8 pecas,8,31.33
29,2025-08-28,353,Refrigerante Lata,8,8.02
30,2024-10-31,392,Agua Mineral,,4.83
31,2023-03-05,176,Wrap de Frango,16,25.54
32,2023-02-02,340,Brownie,13,9.1
33,2024-06-22,144,Suco de Laranja,21,9.54
34,2025-09-12,182,Pizza Calabresa,28,39.83
35,2023-10-06,354,Hamburguer,24,20.78
36,2024-05-06,106,Salada Caesar,7,29.76
37,2025-06-23,152,Brownie,24,9.84
38,2023-09-12,343,Hamburguer,18,24.96
39,2024-07-04,114,Batata Frita,17,13.25
40,2025-04-10,220,Refrigerante Lata,24,7.82
41,2024-09-20,111,Smoothie de Morango,24,14.12
42,2023-05-06,199,Pizza Calabresa,26,46.04
43,2024-02-12,198,Empanada,21,8.86
44,2025-03-21,324,Cafe Expresso,6,7.23
45,2023-02-08,192,Agua Mineral,27,4.78
46,2025-04-21,107,Torta de Limao,12,13.54
47,2023-12-01,194,Pizza Calabresa,16,44.03
48,2023-11-02,295,Pastel,4,10.34
49,2024-12-05,384,Acai 300ml,14,16.72
50,2023-06-29,118,Acai 300ml,24,14.36
51,2025-07-18,333,Pizza Calabresa,10,43.56
52,2024-09-25,341,Pizza Calabresa,11,41.73
53,2023-02-15,146,Brownie,6,
54,2024-08-18,196,Salada Caesar,27,30.63
55,2023-01-25,389,Pizza Mussarela,13,40.37
56,2023-08-09,339,Yakisoba,3,31.88
57,2023-08-27,283,Pizza Mussarela,25,39.26
58,2024-09-30,192,Salada Caesar,2,27.69
59,2024-11-17,300,Brownie,29,9.98
60,2024-09-25,226,Agua Mineral,4,4.24
61,2025-08-30,259,Acai 300ml,,15.87
62,2024-11-07,267,Brownie,15,9.24
63,2024-12-20,197,Empanada,12,8.28
64,2024-08-04,191,Pizza Mussarela,18,40.83
65,2023-11-22,296,Refrigerante Lata,25,7.57
66,2025-09-07,290,Hamburguer,23,23.8
67,2024-04-25,128,Sushi 8 pecas,4,32.51
68,2023-07-08,144,Brownie,22,10.87
69,2024-11-27,272,Agua Mineral,27,4.1
70,2025-03-26,152,Suco de Laranja,6,9.69
71,2023-03-12,121,Sorvete 2 bolas,23,11.17
72,2025-07-13,302,Hamburguer,15,21.64
73,2023-07-03,127,Smoothie de Morango,1,14.46
74,2023-11-24,206,Torta de Limao,1,12.02
75,2023-07-01,343,Cafe Expresso,26,6.47
76,2024-04-15,133,Batata Frita,9,11.93
77,2024-04-11,280,Refrigerante Lata,5,7.94
78,2023-01-24,369,Pizza Mussarela,3,37.41
79,2023-06-29,277,Pizza Calabresa,29,40.88
80,2023-12-02,347,Acai 300ml,8,14.54
81,2025-03-30,390,Refrigerante Lata,24,7.77
82,2024-08-13,321,Brownie,2,10.37
83,2024-01-02,281,Torta de Limao,1,14.16
84,2024-09-29,314,Wrap de Frango,8,26.31
85,2024-04-25,361,Yakisoba,7,27.5
86,2024-06-29,297,Esfiha,25,7.01
87,2024-05-15,331,Agua Mineral,20,4.09
88,2025-05-26,142,Pizza Calabresa,8,41.7
89,2024-07-02,169,Brownie,12,9.97
90,2023-05-17,193,Wrap de Frango,27,24.66
91,2024-01-19,353,Brownie,18,8.92
92,2023-07-16,370,Yakisoba,8,32.39
93,2024-05-22,398,Pizza Mussarela,18,39.69
94,2024-06-28,180,Wrap de Frango,2,27.03
95,2023-12-13,209,Brownie,25,9.02
96,2024-02-12,381,Acai 300ml,18,17.15
97,2023-01-09,325,Salada Caesar,12,26.56
98,2024-07-31,248,Pastel,24,8.72
99,2025-01-23,138,Hamburguer,26,23.03
100,2023-08-02,359,Acai 300ml,27,16.76
101,2024-06-29,192,Smoothie de Morango,24,
102,2024-07-22,146,Smoothie de Morango,15,15.84
103,2023-12-03,143,Sorvete 2 bolas,26,10.23
104,2023-04-29,131,Torta de Limao,9,12.38
105,2024-07-08,232,Empanada,8,8.89
106,2023-10-08,235,Yakisoba,21,29.85
107,2024-12-12,326,Pizza Mussarela,20,42.87
108,2023-09-29,379,Esfiha,6,6.34
109,2023-04-30,121,Salada Caesar,16,
110,2024-10-19,379,Batata Frita,2,11.34
111,2023-06-28,325,Salada Caesar,9,30.11
112,2025-08-22,382,Sushi 8 pecas,19,34.24
113,2023-11-04,117,Cafe Expresso,9,6.63
114,2024-01-01,361,Sorvete 2 bolas,12,11.59
115,2024-01-15,118,Yakisoba,20,31.56
116,2024-11-21,335,Pizza Mussarela,26,40.02
117,2023-02-03,145,Empanada,17,8.24
118,2023-07-20,190,Salada Caesar,18,26.7
119,2023-02-08,119,Wrap de Frango,20,27.68
120,2024-08-24,243,Esfiha,4,6.01
121,2023-06-29,312,Sorvete 2 bolas,1,9.86
122,2023-06-21,330,Suco de Laranja,28,9.28
123,2023-11-03,277,Smoothie de Morango,27,14.18
124,2025-07-22,133,Acai 300ml,24,15.55
125,2025-01-03,206,Salada Caesar,25,27.66
126,2025-02-18,289,Smoothie de Morango,16,14.08
127,2023-06-13,228,Agua Mineral,15,
128,2023-08-18,231,Wrap de Frango,1,28.18
129,2024-05-26,267,Cafe Expresso,30,6.55
130,2024-10-23,262,Acai 300ml,27,14.88
131,2025-06-29,241,Wrap de Frango,25,24.68
132,2024-05-22,330,Yakisoba,5,29.0
133,2024-06-16,303,Pastel,3,9.52
134,2023-03-17,293,Cafe Expresso,29,7.53
135,2024-11-14,136,Smoothie de Morango,22,13.39
136,2024-07-22,263,Hamburguer,27,20.74
137,2024-04-21,245,Empanada,14,8.11
138,2023-10-23,231,Cafe Expresso,9,7.23
139,2023-02-25,169,Agua Mineral,9,4.79
140,2024-09-11,302,Brownie,5,10.63
141,2023-06-09,393,Empanada,28,9.6
142,2024-11-10,296,Sorvete 2 bolas,26,11.06
143,2025-02-12,311,Sushi 8 pecas,30,34.77
144,2025-03-03,196,Agua Mineral,17,4.64
145,2025-04-21,349,Esfiha,,6.42
146,2024-03-06,243,Acai 300ml,24,16.65
147,2024-01-03,365,Cafe Expresso,12,6.74
148,2023-12-07,283,Hamburguer,,20.9
149,2025-07-03,132,Acai 300ml,1,16.8
150,2023-06-09,328,Sushi 8 pecas,,33.49
151,2023-12-17,332,Acai 300ml,16,15.33
152,2023-06-28,157,Smoothie de Morango,16,15.36
153,2025-01-19,328,Cafe Expresso,28,
154,2023-02-01,336,Salada Caesar,23,27.63
155,2025-03-16,386,Pizza Mussarela,13,36.24
156,2023-06-22,192,Batata Frita,1,13.54
157,2025-04-07,312,Hamburguer,29,22.75
158,2023-12-28,161,Empanada,29,9.17
159,2025-02-05,239,Refrigerante Lata,7,7.07
160,2023-01-19,207,Suco de Laranja,12,8.25
161,2023-03-23,178,Brownie,12,9.33
162,2024-06-06,212,Brownie,8,9.19
163,2023-05-02,178,Batata Frita,23,12.03
164,2024-12-26,150,Cafe Expresso,21,6.22
165,2024-08-31,110,Yakisoba,26,30.85
166,2025-09-21,175,Hamburguer,,23.32
167,2024-06-25,227,Smoothie de Morango,10,14.21
168,2024-03-08,107,Cafe Expresso,27,6.53
169,2024-01-06,102,Brownie,,10.28
170,2024-07-23,354,Cafe Expresso,6,6.83
171,2024-10-10,339,Esfiha,24,6.34
172,2023-10-01,226,Empanada,30,8.95
173,2025-02-14,224,Hamburguer,12,21.96
174,2024-10-10,108,Refrigerante Lata,16,7.37
175,2025-04-03,273,Pizza Calabresa,20,39.96
176,2025-05-05,143,Acai 300ml,22,15.92
177,2024-10-02,247,Suco de Laranja,20,9.74
178,2023-11-06,189,Suco de Laranja,5,9.51
179,2023-06-08,182,Pizza Calabresa,,40.51
180,2023-12-17,354,Brownie,6,10.22
181,2023-10-07,140,Agua Mineral,27,4.37
182,2025-03-12,248,Hamburguer,25,20.69
183,2025-03-13,231,Refrigerante Lata,10,7.78
184,2025-04-04,206,Esfiha,13,6.25
185,2024-09-06,207,Esfiha,10,
186,2025-05-09,221,Pizza Calabresa,,44.89
187,2023-09-20,367,Hamburguer,27,21.01
188,2025-04-30,202,Pizza Calabresa,8,45.53
189,2023-01-16,176,Acai 300ml,13,16.99
190,2025-04-05,162,Pizza Mussarela,4,41.96
191,2023-12-24,360,Sushi 8 pecas,4,31.2
192,2023-02-13,101,Pizza Calabresa,13,39.85
193,2025-02-12,311,Salada Caesar,25,29.27
194,2024-01-23,174,Yakisoba,17,
195,2023-04-20,106,Empanada,21,9.72
196,2024-09-02,356,Torta de Limao,30,13.87
197,2024-03-08,312,Smoothie de Morango,12,
198,2023-02-26,378,Smoothie de Morango,5,
199,2025-01-29,222,Empanada,3,8.22
200,2023-03-23,373,Wrap de Frango,1,27.93
201,2024-12-02,185,Brownie,2,10.74
202,2024-09-19,266,Agua Mineral,27,4.52
203,2023-12-21,113,Hamburguer,10,24.35
204,2024-11-08,290,Brownie,23,9.39
205,2024-03-05,372,Sushi 8 pecas,6,29.21
206,2023-08-04,345,Salada Caesar,27,25.32
207,2023-02-22,309,Cafe Expresso,16,6.79
208,2023-08-05,309,Wrap de Frango,1,26.11
209,2023-09-29,155,Esfiha,9,6.9
210,2023-07-08,353,Suco de Laranja,1,8.59
211,2023-03-11,150,Wrap de Frango,21,28.38
212,2024-04-29,255,Hamburguer,27,
213,2023-01-08,386,Agua Mineral,18,4.33
214,2025-01-24,225,Batata Frita,18,11.64
215,2024-02-26,344,Brownie,13,10.57
216,2025-08-04,148,Pizza Calabresa,10,41.09
217,2025-01-16,109,Sushi 8 pecas,23,31.23
218,2023-03-13,155,Brownie,14,9.74
219,2025-08-15,100,Sorvete 2 bolas,21,9.85
220,2024-06-17,305,Cafe Expresso,,
221,2025-08-12,312,Esfiha,25,
222,2024-08-19,280,Cafe Expresso,24,6.71
223,2023-05-20,270,Hamburguer,27,24.24
224,2024-02-09,357,Pizza Mussarela,24,38.93
225,2024-06-29,238,Sorvete 2 bolas,7,10.11
226,2025-08-13,342,Pizza Mussarela,16,43.55
227,2023-04-15,198,Agua Mineral,2,4.62
228,2024-08-13,338,Batata Frita,18,12.5
229,2024-09-06,225,Hamburguer,16,
230,2024-04-03,393,Cafe Expresso,5,
231,2023-03-30,217,Smoothie de Morango,5,14.7
232,2024-10-16,161,Agua Mineral,14,4.39
233,2025-02-23,345,Salada Caesar,1,26.56
234,2024-02-19,173,Yakisoba,26,27.07
235,2023-11-28,295,Smoothie de Morango,4,13.34
236,2024-11-07,361,Cafe Expresso,28,6.22
237,2024-09-08,103,Cafe Expresso,13,7.42
238,2023-12-13,230,Suco de Laranja,23,8.72
239,2023-12-20,162,Sushi 8 pecas,3,34.08
240,2023-07-24,321,Torta de Limao,,13.28
241,2024-06-16,190,Sushi 8 pecas,13,32.53
242,2023-01-21,288,Refrigerante Lata,13,6.82
243,2024-04-18,278,Sorvete 2 bolas,28,11.94
244,2023-05-12,178,Refrigerante Lata,8,7.4
245,2024-08-15,263,Hamburguer,1,22.79
246,2025-02-07,306,Acai 300ml,27,16.95
247,2025-01-11,140,Pizza Calabresa,13,42.67
248,2023-06-12,366,Esfiha,28,6.33
249,2024-09-30,245,Pizza Calabresa,3,42.68
250,2023-08-26,373,Brownie,1,10.84
251,2023-09-21,130,Yakisoba,23,28.09
252,2025-01-27,125,Pizza Mussarela,19,42.35
253,2024-07-23,187,Suco de Laranja,5,8.69
254,2025-04-04,134,Pizza Mussarela,25,38.89
255,2023-03-24,377,Sushi 8 pecas,1,32.64
256,2025-02-03,394,Sushi 8 pecas,26,33.69
257,2025-02-04,139,Sorvete 2 bolas,5,11.96
258,2024-08-18,363,Pizza Calabresa,16,43.83
259,2024-04-23,384,Torta de Limao,9,13.8
260,2023-08-24,118,Sushi 8 pecas,29,31.34
261,2024-01-09,289,Pastel,9,8.68
262,2024-08-21,286,Torta de Limao,23,12.1
263,2023-09-20,215,Salada Caesar,1,27.11
264,2024-10-25,112,Sorvete 2 bolas,11,10.58
265,2025-09-03,374,Sushi 8 pecas,28,28.88
266,2023-09-11,359,Pizza Mussarela,17,38.77
267,2025-04-20,187,Sorvete 2 bolas,24,10.57
268,2023-06-09,227,Brownie,3,10.48
269,2023-05-21,332,Pizza Calabresa,24,
270,2025-07-10,169,Empanada,,8.2
271,2023-05-20,102,Smoothie de Morango,,14.7
272,2024-04-27,234,Sushi 8 pecas,4,32.57
273,2023-05-24,379,Smoothie de Morango,3,15.34
274,2023-05-15,251,Batata Frita,11,12.38
275,2024-06-17,124,Hamburguer,18,21.03
276,2024-04-09,350,Smoothie de Morango,4,13.71
277,2023-05-23,378,Pizza Calabresa,6,45.8
278,2023-02-21,189,Batata Frita,13,12.76
279,2024-08-25,146,Empanada,11,8.81
280,2023-12-21,126,Pastel,24,9.46
281,2023-05-10,316,Sorvete 2 bolas,5,10.91
282,2025-08-24,165,Esfiha,2,6.96
283,2025-03-20,399,Empanada,14,8.57
284,2024-11-15,247,Cafe Expresso,4,6.45
285,2023-09-06,315,Smoothie de Morango,10,14.82
286,2025-05-27,125,Empanada,2,9.47
287,2023-11-07,225,Refrigerante Lata,21,6.92
288,2023-09-08,282,Batata Frita,4,11.67
289,2025-07-18,104,Pizza Mussarela,29,43.17
290,2024-01-01,194,Hamburguer,4,21.67
291,2023-03-14,123,Sorvete 2 bolas,6,10.84
292,2025-05-17,194,Pizza Mussarela,27,43.12
293,2023-08-04,186,Batata Frita,30,11.26
294,2024-04-04,315,Brownie,30,10.23
295,2024-05-10,297,Batata Frita,23,11.88
296,2023-03-18,140,Esfiha,15,6.07
297,2023-08-04,224,Refrigerante Lata,6,7.41
298,2023-09-01,361,Hamburguer,25,21.37
299,2024-09-20,154,Batata Frita,17,13.5
300,2023-01-23,235,Cafe Expresso,15,6.3
301,2025-05-11,293,Wrap de Frango,23,28.97
302,2023-07-12,130,Yakisoba,26,29.87
303,2024-01-31,324,Agua Mineral,13,4.29
304,2025-03-30,120,Sushi 8 pecas,26,31.21
305,2024-04-27,342,Batata Frita,2,12.87
306,2024-07-01,167,Brownie,27,10.65
307,2024-12-11,386,Brownie,9,10.53
308,2023-07-13,331,Salada Caesar,16,29.82
309,2024-05-25,234,Batata Frita,27,13.3
310,2025-05-27,128,Torta de Limao,11,12.94
311,2023-05-14,121,Batata Frita,5,11.42
312,2024-05-31,391,Empanada,13,9.62
313,2023-02-13,119,Refrigerante Lata,20,8.07
314,2024-08-19,360,Acai 300ml,24,14.74
315,2023-02-12,229,Acai 300ml,30,16.91
316,2024-01-15,260,Sushi 8 pecas,28,35.15
317,2023-10-03,262,Refrigerante Lata,19,7.78
318,2025-06-07,221,Esfiha,17,7.11
319,2024-09-23,382,Salada Caesar,5,28.16
320,2023-09-17,226,Smoothie de Morango,4,13.76
321,2023-12-17,178,Agua Mineral,12,4.58
322,2023-07-21,256,Refrigerante Lata,23,8.16
323,2025-02-10,170,Wrap de Frango,27,28.11
324,2023-01-27,337,Smoothie de Morango,11,13.94
325,2025-07-24,227,Agua Mineral,1,4.17
326,2025-09-23,163,Batata Frita,8,13.06
327,2025-07-03,254,Refrigerante Lata,21,7.42
328,2023-06-26,125,Refrigerante Lata,20,8.16
329,2023-10-31,259,Pizza Calabresa,30,42.5
330,2023-06-04,364,Batata Frita,24,11.59
331,2024-10-30,107,Smoothie de Morango,19,15.45
332,2024-07-25,291,Sushi 8 pecas,7,31.17
333,2023-07-11,105,Brownie,30,9.25
334,2024-09-24,314,Cafe Expresso,16,6.43
335,2024-09-29,369,Yakisoba,25,30.12
336,2023-05-15,135,Brownie,27,10.04
337,2023-05-07,175,Agua Mineral,23,4.71
338,2023-04-19,172,Yakisoba,6,32.6
339,2023-03-23,320,Pizza Mussarela,5,39.41
340,2024-07-20,347,Pastel,22,10.44
341,2023-12-06,207,Empanada,26,9.41
342,2023-01-21,352,Sushi 8 pecas,6,31.65
343,2023-11-21,215,Refrigerante Lata,5,8.07
344,2023-12-19,211,Pizza Calabresa,8,42.5
345,2023-08-08,221,Wrap de Frango,17,24.27
346,2024-09-19,321,Yakisoba,30,30.88
347,2023-03-10,254,Pizza Calabresa,28,46.07
348,2023-08-19,393,Esfiha,16,6.85
349,2025-05-24,268,Acai 300ml,22,17.31
350,2023-09-13,302,Pizza Mussarela,24,39.27
351,2024-03-23,395,Salada Caesar,3,29.15
352,2024-09-15,145,Smoothie de Morango,24,15.75
353,2023-04-18,175,Brownie,9,9.69
354,2025-03-30,144,Wrap de Frango,18,27.42
355,2023-05-31,283,Esfiha,2,7.04
356,2024-09-25,234,Suco de Laranja,19,9.73
357,2024-06-09,211,Hamburguer,7,21.66
358,2024-11-16,139,Salada Caesar,6,25.39
359,2024-10-02,352,Pastel,30,9.1
360,2025-07-13,235,Suco de Laranja,5,8.22
361,2024-09-08,318,Sushi 8 pecas,25,29.72
362,2023-07-19,328,Empanada,18,8.12
363,2024-01-01,311,Agua Mineral,11,4.45
364,2024-08-22,365,Torta de Limao,13,12.67
365,2024-06-02,387,Esfiha,23,6.11
366,2025-03-19,103,Refrigerante Lata,26,7.51
367,2023-11-12,350,Smoothie de Morango,4,15.55
368,2024-02-28,111,Smoothie de Morango,13,14.22
369,2024-08-30,142,Hamburguer,23,24.84
370,2023-11-23,283,Pastel,22,8.59
371,2023-05-19,343,Pizza Calabresa,5,42.07
372,2023-02-06,308,Hamburguer,29,25.01
373,2023-02-25,226,Pizza Mussarela,15,38.74
374,2024-07-02,358,Brownie,9,10.3
375,2025-06-14,391,Hamburguer,25,21.59
376,2023-07-08,205,Hamburguer,8,
377,2024-06-20,214,Sushi 8 pecas,9,32.75
378,2023-07-10,344,Sushi 8 pecas,24,29.41
379,2024-11-14,216,Cafe Expresso,28,6.81
380,2023-07-23,372,Sorvete 2 bolas,15,11.81
381,2025-02-16,101,Suco de Laranja,5,9.09
382,2025-02-27,394,Agua Mineral,1,4.31
383,2023-06-12,110,Salada Caesar,30,28.27
384,2024-10-28,252,Pastel,27,9.17
385,2023-07-19,364,Hamburguer,5,22.49
386,2024-12-27,120,Suco de Laranja,29,9.02
387,2024-01-03,240,Hamburguer,29,23.43
388,2023-08-06,259,Esfiha,3,6.63
389,2023-09-28,276,Torta de Limao,28,13.9
390,2023-02-25,147,Hamburguer,21,23.58
391,2024-06-10,376,Suco de Laranja,9,9.41
392,2023-09-03,162,Brownie,28,9.83
393,2024-09-16,321,Smoothie de Morango,6,13.77
394,2023-08-15,162,Cafe Expresso,11,6.64
395,2025-04-13,212,Yakisoba,20,31.04
396,2024-05-30,365,Esfiha,23,7.09
397,2024-02-24,261,Smoothie de Morango,28,15.1
398,2024-11-09,157,Acai 300ml,21,15.04
399,2024-11-27,267,Pastel,25,9.59
400,2024-02-05,223,Salada Caesar,17,26.41
401,2024-12-13,247,Pizza Calabresa,28,41.71
402,2025-01-13,184,Cafe Expresso,3,6.82
403,2025-04-28,258,Salada Caesar,6,30.08
404,2023-07-10,147,Esfiha,17,6.31
405,2023-04-16,379,Smoothie de Morango,20,14.24
406,2025-07-13,367,Wrap de Frango,9,25.36
407,2025-07-14,258,Torta de Limao,,14.07
408,2024-12-15,333,Pastel,30,9.49
409,2023-04-26,347,Batata Frita,2,12.73
410,2025-07-04,282,Smoothie de Morango,3,13.92
411,2025-01-07,145,Yakisoba,30,
412,2023-02-14,120,Salada Caesar,3,26.1
413,2025-04-05,202,Suco de Laranja,22,9.26
414,2023-03-19,374,Brownie,24,10.24
415,2024-10-27,208,Batata Frita,23,11.41
416,2025-09-19,157,Sushi 8 pecas,3,35.08
417,2025-01-14,284,Empanada,16,9.51
418,2024-05-27,158,Acai 300ml,7,16.72
419,2024-11-15,210,Sushi 8 pecas,20,29.38
420,2023-09-18,120,Hamburguer,29,23.35
421,2023-07-25,112,Salada Caesar,2,29.12
422,2025-01-11,134,Yakisoba,24,31.2
423,2023-02-05,252,Pizza Calabresa,16,41.75
424,2024-04-30,215,Torta de Limao,2,12.93
425,2023-05-29,191,Batata Frita,3,12.76
426,2024-02-03,375,Brownie,10,9.98
427,2023-04-30,147,Sorvete 2 bolas,29,11.77
428,2023-07-11,278,Pastel,18,9.3
429,2024-06-05,363,Sorvete 2 bolas,9,11.77
430,2024-02-01,196,Refrigerante Lata,23,6.86
431,2023-12-26,335,Smoothie de Morango,21,14.06
432,2024-09-22,207,Empanada,6,9.37
433,2025-05-29,133,Agua Mineral,16,4.8
434,2024-07-17,249,Esfiha,26,5.96
435,2023-02-24,208,Wrap de Frango,25,27.27
436,2024-05-09,162,Sushi 8 pecas,18,
437,2025-07-22,194,Suco de Laranja,,9.15
438,2024-11-05,299,Torta de Limao,17,12.67
439,2025-05-04,398,Suco de Laranja,4,8.19
440,2023-09-11,103,Salada Caesar,12,29.58
441,2025-01-04,391,Cafe Expresso,30,7.23
442,2023-01-02,261,Esfiha,,6.83
443,2024-12-23,347,Torta de Limao,19,13.59
444,2024-04-16,133,Esfiha,27,6.5
445,2025-04-01,205,Suco de Laranja,9,
446,2024-02-27,360,Salada Caesar,30,27.35
447,2025-05-29,228,Salada Caesar,24,29.4
448,2025-08-23,243,Agua Mineral,26,4.54
449,2024-08-30,191,Pizza Calabresa,9,45.85
450,2025-09-29,122,Yakisoba,8,31.72